,itr_num,exe_count,fval,solution,best_fval,best_solution,qaoa_total,impact_time,exe_total
0,1,1,0.18921645671254958,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.18921645671254958,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.8740274906158447,0.0006399154663085938,0.885352373123169
1,2,1,0.16839524245955087,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.16839524245955087,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.8004105091094971,0.0008697509765625,0.8129329681396484
2,3,1,0.15107775057545214,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.15107775057545214,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.7908918857574463,0.0008280277252197266,0.8019838333129883
3,4,1,0.1467536702990554,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.1467536702990554,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.8043625354766846,0.0008072853088378906,0.8152124881744385
4,5,1,0.14354569826111044,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.14354569826111044,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.8957419395446777,0.0008232593536376953,0.906674861907959
5,6,1,0.14209753423156868,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.14209753423156868,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.8223795890808105,0.0008611679077148438,0.8340620994567871
6,7,1,0.14139237790716086,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.14139237790716086,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.7967839241027832,0.0008456707000732422,0.8090789318084717
7,8,1,0.14122518429874975,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.14122518429874975,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.8160014152526855,0.0008287429809570312,0.827031135559082
8,9,1,0.14079356060103773,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.14079356060103773,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.857464075088501,0.0008301734924316406,0.8687930107116699
9,10,1,0.14079356060103776,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.14079356060103773,"[0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0, 1, 1, 1.0, 0.0, 1.0, 0, 0, 1.0, 1.0, 0.0, 0.0, 0.0, 0, 1, 0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 0, 0.0, 0, 0.0, 0.0, 0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0, 0.0, 0, 0, 0, 0.0, 1.0, 0, 0.0, 0, 0, 1.0, 1.0, 1.0, 1, 0.0, 1, 0.0, 0, 1, 0.0, 1.0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1.0, 1, 1, 1, 1, 0, 1.0, 0.0, 1.0, 0, 1.0, 0.0, 0]",0.8319687843322754,0.0008380413055419922,0.8434188365936279
